,Source,DriftRateMax,Nevent,FreqMid,DriftBW,DriftRates,Freqs,FileID,SNR
3756,HIP117197,0.449625,2,1574.9391905000002,0.07688276749984306,[-0.449625 -0.430492],[1574.973193 1574.905188],spliced_blc2021222324252627_guppi_57993_08629_HIP117197_0014.gpuspec.0000.h5,[18.973798 20.165897]
3757,HIP6344,3.66533,3,1420.4474535,0.07703232460020835,[-3.11356  -3.66533  -3.438711],[1420.474771 1420.426374 1420.420136],spliced_blc0001020304050607_guppi_57511_62599_HIP6344_0008.gpuspec.0000.h5,[11.692672 10.124354 11.253011]
3758,HIP23497,0.727053,6,1604.3504225,0.07705788485988573,[-0.688787 -0.727053 -0.650521 -0.688787 -0.660088 -0.688787],[1604.383922 1604.377018 1604.359916 1604.350923 1604.333016 1604.316923],spliced_blc0001020304050607_guppi_57640_26302_HIP23497_0045.gpuspec.0000.h5,[10.474414 10.105891 10.461818 10.111024 10.627688 11.368761]
3759,HIP40375,3.79342,3,1625.825393,0.07774180039978612,[-3.79342 -3.34018 -3.24165],[1625.852764 1625.850992 1625.798022],spliced_blc02030405_2bit_guppi_57456_04691_HIP40375_0015.gpuspec.0000.h5,[12.699468 12.996551 11.742075]
3760,HIP35821,0.401793,3,1574.957315,0.07775628365995599,[-0.401793 -0.401793 -0.401793],[1574.991815 1574.933815 1574.922815],spliced_blc0001020304050607_guppi_57578_76826_Hip35821_0011.gpuspec.0000.h5,[24.985463 34.862085 24.958992]
3761,HIP46843,0.216767,14,1604.2019699999994,0.07800146353992997,"[-0.216767 -0.216767 -0.216767 -0.206914 -0.206914 -0.216767 -0.216767
 -0.216767 -0.216767 -0.216767 -0.216767 -0.216767 -0.216767 -0.216767]","[1604.23697  1604.233871 1604.224871 1604.216969 1604.20487  1604.202871
 1604.200872 1604.19697  1604.193871 1604.190871 1604.188971 1604.185971
 1604.179971 1604.16697 ]",spliced_blc0001020304050607_guppi_57543_00151_HIP46843_0009.gpuspec.0000.h5,"[27.816952 26.167844 23.984699 22.914929 20.905505 24.240545 25.256975
 21.403048 21.830018 21.399095 19.076967 20.584482 23.875608 21.857734]"
3762,HIP41307,0.009853,2,1532.1928415000002,0.0780058208598815,[-0.009853 -0.009853],[1532.228278 1532.157405],spliced_blc02030405_2bit_guppi_57430_10133_HIP41307_0004.gpuspec.0000.h5,[30.657162 10.769762]
3763,HIP91973,0.22662,2,1604.8622340000006,0.07804698439992998,[-0.22662 -0.22662],[1604.897234 1604.827234],spliced_blc0001020304050607_guppi_57552_27953_HIP91973_0027.gpuspec.0000.h5,[26.53496  26.407269]
3764,HIP99711,0.009566,3,1681.302334,0.07821239491948168,[0.009566 0.009566 0.009566],[1681.337865 1681.312996 1681.266803],spliced_blc0001020304050607_guppi_57683_79628_HIP99711_0039.gpuspec.0000.h5,[23.511211 17.468143 12.378164]
3765,HIP50782,0.009853,5,1558.8110675,0.07846782085996562,[-0.009853 -0.009853 -0.009853 -0.009853 -0.009853],[1558.846714 1558.83618  1558.806869 1558.804731 1558.775421],spliced_blc02030405_2bit_guppi_57482_11589_HIP50782_0003.gpuspec.0000.h5,[58.744659 46.876747 42.928712 41.057677 47.25096 ]
3766,HIP106400,0.344394,2,1604.8676529999998,0.07859110027992998,[-0.325261 -0.344394],[1604.902653 1604.832653],spliced_blc0001020304050607_guppi_57662_11492_HIP106400_0015.gpuspec.0000.h5,[21.671431 24.903693]
3767,HIP117197,0.363527,2,1602.614374,0.07867949474018007,[-0.363527 -0.363527],[1602.649374 1602.579374],spliced_blc2021222324252627_guppi_57993_08629_HIP117197_0014.gpuspec.0000.h5,[24.903435 29.810322]
3768,HIP38117,0.660088,2,1574.8901505000001,0.07895510656006716,[-0.660088 -0.650521],[1574.924653 1574.855648],spliced_blc3031323334353637_guppi_57872_75602_HIP38117_0002.gpuspec.0000.h5,[15.424596 13.365103]
3769,HIP86340,0.009566,2,1540.317105,0.07895599492010537,[0.009566 0.009566],[1540.352974 1540.281236],spliced_blc0001020304050607_guppi_57710_72905_HIP86340_0002.gpuspec.0000.h5,[19.414961 24.379061]
3770,HIP44955,0.009566,5,1541.932491,0.07895599492010537,[-0.009566 -0.009566 -0.009566 -0.009566 -0.009566],[1541.96836  1541.938559 1541.926422 1541.904347 1541.896622],spliced_blc0001020304050607_guppi_57642_59377_Hip44955_0015.gpuspec.0000.h5,[12.197981 14.492133 22.021526 15.517967 14.108966]
3771,HIP72875,0.440059,2,1574.9393385,0.07903417258005224,[-0.440059 -0.440059],[1574.974339 1574.904338],spliced_blc0001020304050607_guppi_57570_16199_HIP72875_0008.gpuspec.0000.h5,[103.518063  78.245915]
3772,HIP56802,0.443387,3,1575.6185805,0.07904514793981325,[-0.423681 -0.423681 -0.443387],[1575.653579 1575.619578 1575.583582],spliced_blc0001020304050607_guppi_57522_13197_HIP56802_0009.gpuspec.0000.h5,[39.241975 63.08013  77.595761]
3773,HIP400,0.70792,2,1599.640553,0.07917059039995597,[-0.70792 -0.70792],[1599.675053 1599.606053],spliced_blc0001020304050607_guppi_57614_24104_Hip400_0009.gpuspec.0000.h5,[53.439192 45.139051]
3774,HIP41307,0.719272,6,1600.1484355,0.07922193664008383,[-0.709419 -0.709419 -0.719272 -0.709419 -0.709419 -0.719272],[1600.182935 1600.171936 1600.157937 1600.130935 1600.127935 1600.113936],spliced_blc02030405_2bit_guppi_57430_10133_HIP41307_0004.gpuspec.0000.h5,[16.894965 13.403834 14.284386 12.65811  12.760585 11.364386]
3775,HIP25110,0.009853,3,1527.5768885,0.07929062085988914,[-0.009853 -0.009853 -0.009853],[1527.612909 1527.607122 1527.540868],spliced_blc0001020304050607_guppi_57532_66850_HIP25110_0021.gpuspec.0000.h5,[21.715095 23.576635 34.896954]
3776,HIP60910,3.862391,2,1625.845962,0.07954544642003862,[3.862391 3.724449],[1625.874008 1625.817916],spliced_blc02030405_2bit_guppi_57433_32658_HIP60910_0003.gpuspec.0000.h5,[11.190931 17.202032]
3777,HIP19849,0.009853,2,1527.388031,0.07964372085987304,[-0.009853 -0.009853],[1527.424212 1527.35185 ],spliced_blc02030405_2bit_guppi_57493_77450_HIP19849_0002.gpuspec.0000.h5,[42.159955 39.623421]
3778,HIP117197,0.009566,3,1527.0394609999994,0.07964459491986749,[0.009566 0.009566 0.009566],[1527.075643 1527.041101 1527.003279],spliced_blc2021222324252627_guppi_57993_08629_HIP117197_0014.gpuspec.0000.h5,[11.032168 11.901394 12.981049]
3779,HIP75266,0.029559,8,1559.2992625000006,0.08005926257992914,"[-0.019706 -0.019706 -0.019706 -0.019706 -0.019706 -0.029559 -0.029559
 -0.029559]","[1559.335591 1559.332679 1559.324091 1559.30938  1559.282199 1559.269331
 1559.265013 1559.262934]",spliced_blc0001020304050607_guppi_57523_26715_HIP75266_0015.gpuspec.0000.h5,"[27.385164 26.19154  28.903406 26.380124 28.580372 22.795679 22.55992
 20.017232]"
3780,HIP92043,0.266032,3,1575.192529,0.08042906784012807,[-0.256179 -0.256179 -0.266032],[1575.228529 1575.200528 1575.156529],spliced_blc0001020304050607_guppi_57552_30154_HIP92043_0033.gpuspec.0000.h5,[81.671107 63.150505 49.483167]
3781,HIP114570,0.561623,2,1574.9080175000001,0.08069579826002624,[-0.561623 -0.541917],[1574.943518 1574.872517],spliced_blc0001020304050607_guppi_57540_51124_HIP114570_0021.gpuspec.0000.h5,[39.054179 22.867139]
3782,HIP102843,0.5452899999999999,3,1605.1489064999994,0.08073253979974296,[-0.54529  -0.54529  -0.487891],[1605.184458 1605.125458 1605.113355],spliced_blc0001020304050607_guppi_57683_04129_HIP102843_0009.gpuspec.0000.h5,[11.402785 24.849082 25.735827]
3783,HIP69526,0.009566,2,1551.142351,0.08115379491980879,[0.009566 0.009566],[1551.179219 1551.105483],spliced_blc0001020304050607_guppi_57955_10060_HIP69526_0048.gpuspec.0000.h5,[12.950535 12.880448]
3784,HIP32984,0.009566,2,1559.4407455,0.0811988949200701,[0.009566 0.009566],[1559.477634 1559.403857],spliced_blc3031323334353637_guppi_57886_85789_HIP32984_0028.gpuspec.0000.h5,[37.260799 43.769935]
3785,HIP113409,0.67986,3,1599.937053,0.08123875320015964,[-0.610888 -0.67986  -0.620741],[1599.972552 1599.969563 1599.901554],spliced_blc0001020304050607_guppi_57530_46571_HIP113409_0009.gpuspec.0000.h5,[28.642706 30.347789 41.415803]
3786,HIP29432,0.019133,4,1552.5585015,0.08124309445981998,[0.019133 0.019133 0.019133 0.019133],[1552.59539  1552.588596 1552.58277  1552.521613],spliced_blc3031323334353637_guppi_57886_77602_HIP29432_0004.gpuspec.0000.h5,[34.587825 55.989887 43.086838 33.866452]
3787,HIP104521,0.267862,3,1574.42645,0.08176852244026916,[-0.258295 -0.267862 -0.258295],[1574.463055 1574.411073 1574.389845],spliced_blc0001020304050607_guppi_58210_37474_HIP104521_0030.gpuspec.0000.h5,[21.445561 23.383689 25.126955]
3788,HIP90790,0.009853,2,1526.5758265,0.08182722085998773,[0.009853 0.009853],[1526.613    1526.538653],spliced_blc02030405_2bit_guppi_57479_44843_HIP90790_0003.gpuspec.0000.h5,[13.055656 35.273385]
3789,HIP106106,0.817802,6,1599.705456,0.08197944523989857,[-0.77839  -0.719272 -0.807949 -0.77839  -0.817802 -0.817802],[1599.741002 1599.704903 1599.702907 1599.700902 1599.69091  1599.66991 ],spliced_blc0001020304050607_guppi_57521_49650_HIP106106_0021.gpuspec.0000.h5,[14.128768 13.002789 14.649757 15.175606 13.043649 13.97236 ]
3790,HIP110395,0.449625,4,1575.290975,0.0823750674998575,[-0.440059 -0.440059 -0.440059 -0.449625],[1575.327474 1575.319475 1575.271474 1575.254476],spliced_blc0001020304050607_guppi_57654_11995_Hip110395_0002.gpuspec.0000.h5,[173.677703 142.61407  271.975855 173.397113]
3791,HIP105932,0.487891,4,1574.163951,0.08254965642011318,[-0.478324 -0.487891 -0.411359 -0.478324],[1574.200449 1574.177449 1574.167449 1574.127453],spliced_blc0001020304050607_guppi_57614_21872_Hip105932_0003.gpuspec.0000.h5,[24.366135 16.334833 21.180243 17.830212]
3792,HIP82817,0.009853,3,1536.938613,0.08260052085991118,[0.009853 0.009853 0.009853],[1536.976138 1536.911027 1536.901088],spliced_blc0001020304050607_guppi_57526_26630_HIP82817_0015.gpuspec.0000.h5,[ 29.668301 134.680589  42.947221]
3793,HIP102532,0.009853,2,1530.298956,0.08260052085991118,[0.009853 0.009853],[1530.336481 1530.261431],spliced_blc0001020304050607_guppi_57545_34407_HIP102532_0044.gpuspec.0000.h5,[53.884594 80.380952]
3794,HIP18280,0.009853,4,1527.366525,0.08266652085999464,[-0.009853 -0.009853 -0.009853 -0.009853],[1527.40408  1527.363167 1527.35187  1527.32897 ],spliced_blc0001020304050607_guppi_57543_64347_HIP18280_0009.gpuspec.0000.h5,[30.864057 16.773064 13.606725 17.063517]
3795,HIP113409,0.670007,6,1599.544063,0.08339543233985194,[-0.670007 -0.670007 -0.620741 -0.670007 -0.670007 -0.670007],[1599.580563 1599.563565 1599.527554 1599.513464 1599.511564 1599.507563],spliced_blc0001020304050607_guppi_57530_46571_HIP113409_0009.gpuspec.0000.h5,[38.885671 34.618902 32.69182  29.838805 28.067495 28.578392]
3796,HIP40875,0.908817,8,1598.3027550000006,0.08339873453987795,"[-0.880117 -0.89925  -0.880117 -0.908817 -0.89925  -0.889684 -0.89925
 -0.880117]","[1598.338755 1598.332754 1598.325755 1598.314758 1598.297754 1598.288754
 1598.270666 1598.266755]",spliced_blc0001020304050607_guppi_57598_64894_Hip40875_0003.gpuspec.0000.h5,"[11.542803 12.063249 10.880406 12.363935 13.157236 12.958981 14.433664
 15.157286]"
3797,HIP32851,0.009566,3,1542.8572255000001,0.08348029491981256,[-0.009566 -0.009566 -0.009566],[1542.895151 1542.855113 1542.8193  ],spliced_blc3031323334353637_guppi_57886_83775_HIP32851_0022.gpuspec.0000.h5,[115.547728 119.025391  57.708615]
